"N","pretrial","convicted","total","Prison","OfficialCapacity","lat","lon","overpopulation"
1,1726,1121,2847,"Nacional",1530,-25.3084328189439,-57.6488320287498,186.07843137254903
2,NA,245,245,"Esperanza",288,-25.3095765214487,-57.6482775981461,85.06944444444444
3,NA,29,29,"Granja Koe Kyaho",13,-25.3105125942786,-57.6479082083574,223.0769230769231
4,1203,308,1511,"Emboscada",408,-25.0975627188879,-57.3137247118148,370.343137254902
5,726,688,1414,"Padre Juan A. de la Vega",720,NA,NA,196.38888888888889
6,0,12,12,"Granja Ita Pora",48,NA,NA,25
7,1034,436,1470,"Ciudad del Este",700,-25.5218518848559,-54.6155844430055,210
8,1111,313,1424,"Encarnacion",939,-27.3125045279296,-55.8023728246991,151.6506922257721
9,1001,411,1412,"Misiones",920,-26.6929365662673,-57.0748426038324,153.47826086956522
10,1051,520,1571,"CNEL. Oviedo",960,-25.5369456827774,-56.4593997192161,163.64583333333334
11,337,78,415,"Villarrica",290,-25.7847368075837,-56.4326202461903,143.10344827586206
12,847,339,1086,"Pedro J. Caballero",930,-22.5686933063654,-55.7581984327992,116.77419354838709
13,994,430,1424,"Concepción",889,-23.4073942236579,-57.3853214174292,160.17997750281214
14,798,347,1145,"San Pedro",696,-24.0889658832364,-57.0926787039171,164.51149425287358
15,NA,NA,NA,"Buen Pastor",470,-25.2900083667525,-57.591077481118496,NA
16,NA,NA,NA,"Nuvea Oportunidad",20,-25.2904040653693,-57.591968523446,NA
17,NA,NA,NA,"Serafina Dávalos",62,NA,NA,NA
18,NA,NA,NA,"Juana Maria de Lara",102,NA,NA,NA
19,10828,5277,16105,"Total",9985,NA,NA,161.29193790686028
